,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age_z,fare_z
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False,-0.5896198553348734,-0.5002397510893574
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,0.644847987422268,0.788946607905507
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,-0.28100289464558803,-0.48664993466069395
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,0.413385266905304,0.4228611129909654
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,0.413385266905304,-0.4841333019887193
5,0,3,male,29.64209269662921,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True,-5.482138488753303e-16,-0.47591297302898106
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,1.8793158301794095,0.39794644953841574
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False,-2.1327046587813,-0.22190017756895475
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False,-0.20384865447326672,-0.4220570338487224
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False,-1.2068537767134442,-0.040787184044554156
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,-1.9783961784366575,-0.3099823210880695
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,2.187932790868695,-0.11167166653646252
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,-0.7439283356795161,-0.4841333019887193
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False,0.7220022275945894,-0.016542951535818605
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True,-1.2068537767134442,-0.4880753554061005
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True,1.9564700703517308,-0.32407546405112786
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,-2.1327046587813,-0.05982903349378355
17,1,2,male,29.64209269662921,0,0,13.0,S,Second,man,True,,Southampton,yes,True,-5.482138488753303e-16,-0.38447464817852084
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False,0.10476830621601865,-0.28380934129953256
19,1,3,female,29.64209269662921,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True,-5.482138488753303e-16,-0.5007430776237524
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True,0.413385266905304,-0.12274485029315124
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,0.33623102673298266,-0.38447464817852084
